Quarter end,Shares,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Goodwill & intangibles,Long-term debt,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Dividend per share,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Capital expenditures,Price,Price high,Price low,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Cumulative dividends per share,Dividend payout ratio,Long-term debt to equity ratio,Equity to assets ratio,Net margin,Asset turnover,Free cash flow per share,Current ratio,Adj Close,Beta,Correlation,Cumulative Return,Date,Kurtosis,SPY Cumulative Return,Sharpe Ratio,Standard Deviation,Target,Ticker Name
2000-01-31,452000000,7107000000,4982000000,2621000000,2067000000,4486000000,0,0,2246000000,131000000,131000000,0.3,0.3,0.0,384000000,-208000000,1192000000,1368000000,1368000000,30000000,59.63,79.25,40.0,None,None,9.92,None,None,0.0,None,0.0,0.6312,None,None,0.78,2.4103,42.005573,1.4560510381054892,0.3198373874871465,0.5042615626824458,2000-1-31,1.604954241437218,0.09541238098978799,0.034560503437565344,0.055469280249143035,-1,A
2000-04-30,452271967,7321000000,5057000000,2679000000,2186000000,4642000000,0,0,2485000000,166000000,166000000,0.37,0.36,0.0,-38000000,-341000000,-11000000,-390000000,978000000,95000000,115.0,159.0,71.0,None,None,10.26,11.59,None,0.0,None,0.0,0.6341,None,None,-0.29,2.3134,56.245415,1.1582860991856296,0.24937302653699558,1.0142045404694917,2000-4-30,13.097420021511208,0.08781587146148295,0.05330372511677857,0.07423155048187181,-1,A
2000-07-31,453014579,7827000000,5344000000,2925000000,2510000000,4902000000,0,0,2670000000,155000000,155000000,0.34,0.34,0.0,69000000,-417000000,73000000,-275000000,703000000,222000000,70.75,100.75,40.75,None,None,10.82,6.9,None,0.0,None,0.0,0.6263,None,None,-0.34,2.1291,25.861778,1.3796698332845063,0.2705467002524227,-0.07386387544275375,2000-7-31,9.680003661910789,0.07739159158752473,-0.005356807373105782,0.07382298339798932,-1,A
2000-10-31,456366381,8425000000,5655000000,3160000000,2758000000,5265000000,557000000,0,3372000000,305000000,305000000,0.67,0.65,0.0,423000000,-151000000,21000000,293000000,996000000,355000000,50.91,63.0,38.81,None,None,11.54,4.71,None,0.0,0,0.0,0.6249,None,None,0.15,2.0504,29.391996000000002,1.4831641758339158,0.2974398393554435,0.052556760345018994,2000-10-31,9.889796184295372,0.05559332206744361,0.00161031099394559,0.06845077863499974,-1,A
2001-01-31,456769737,9208000000,5461000000,3667000000,3070000000,5541000000,1213000000,0,2841000000,154000000,154000000,0.34,0.33,0.0,-197000000,-870000000,504000000,-563000000,433000000,114000000,53.03,68.0,38.06,0.1533,None,12.13,4.6,32.14,0.0,0,0.0,0.6018,0.0686,1.39,-0.68,1.7788,34.619881,1.6854380454046047,0.3632522190460081,-0.17582647902458082,2001-1-31,10.53189735751847,-0.020402128275951337,-0.012071131133213122,0.06654769194645452,-1,A
2001-04-30,457072749,9080000000,4998000000,3464000000,3098000000,5616000000,1238000000,0,2382000000,96000000,96000000,0.21,0.21,0.0,None,None,None,376000000,809000000,341000000,40.0,55.0,25.0,0.1332,None,12.29,3.3,23.81,0.0,0,0.0,0.6185,0.063,1.3,None,1.6133,24.7575,2.14390087816591,0.506091367054923,-0.590982905704027,2001-4-30,2.153411122694581,-0.1490141590328622,-0.04216599586270029,0.05843409060796505,-1,A
2001-07-31,460637309,8622000000,4656000000,3135000000,2804000000,5487000000,1178000000,0,1806000000,-219000000,-219000000,-0.48,-0.48,0.0,324000000,-184000000,83000000,190000000,999000000,259000000,33.69,41.18,26.2,0.0613,0.038,11.91,2.74,22.02,0.0,0,0.0,0.6364,0.0323,1.18,0.14,1.6605,18.157192000000002,2.2043344365195985,0.606245522836054,-0.2979140103978929,2001-7-31,1.2222360745605476,-0.15347734025216342,-0.026138885820315476,0.04941511472488549,-1,A
2001-10-31,463695160,7986000000,4799000000,2327000000,2002000000,5659000000,1070000000,0,1367000000,143000000,143000000,0.31,0.32,0.0,-381000000,-332000000,-770000000,171000000,1170000000,167000000,25.35,32.7,18.0,0.0312,0.0199,12.2,2.13,35.7,0.0,0,0.0,0.7086,0.0207,0.96,-1.18,2.3971,14.133545000000002,2.0942428165349978,0.647143490292996,-0.5191362641720556,2001-10-31,0.6308445647100287,-0.2585840134280003,-0.047086890819945784,0.04622401307002943,-1,A
2002-01-31,463859978,8493000000,5467000000,3140000000,1660000000,5353000000,944000000,1150000000,1426000000,-315000000,-315000000,-0.68,-0.68,0.0,-144000000,-53000000,1188000000,1018000000,2188000000,69000000,27.68,33.3,22.06,-0.0534,-0.0345,11.54,2.27,72.84,0.0,None,0.2148,0.6303,None,0.82,-0.46,3.2934,19.261478,2.0200631388375743,0.6417084658057175,-0.44362957226802713,2002-1-31,1.12980335052763,-0.17262688946181293,-0.045150263797712434,0.04151732750600413,-1,A
2002-04-30,464247548,8238000000,5260000000,3110000000,1609000000,5128000000,863000000,1150000000,1457000000,-253000000,-253000000,-0.55,-0.55,0.0,-118000000,158000000,11000000,47000000,2235000000,86000000,31.41,38.0,24.83,-0.1191,-0.0773,11.05,2.72,None,0.0,None,0.2243,0.6225,None,0.73,-0.44,3.2691,19.071079,1.8366379039571576,0.6307314175419613,-0.229684782389175,2002-4-30,1.4889433017851594,-0.13809159347683975,-0.03027190356027337,0.033652959006305064,-1,A
